frame,root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow
0,-0.5989422484936231,-0.08277568024933443,0.29698582524278794,0.014286740957073964,0.015788638214638273,-0.6895926505459121,0.7238843721542938,-0.27107542084888975,0.138966602484211,0.39676316634606645,0.19635834982214448,0.038555669953171084,0.0,-0.23511728634589749,-0.11368968271469881,-0.435061797827987,0.1509533321007947,-0.020350390541368966,0.0,-0.31488070653771283,1.8850300752342013,0.24958647853049673,-0.543181347785716,-0.29111319056007084,-1.7318504412970246,-0.16205934256504348,-0.3063130543444788
1,-0.598607680418732,-0.08481335805289894,0.2946338654232553,0.04042695370725633,0.04204014188717861,-0.6913521857674294,0.7201600121630296,-0.40886457774992446,0.1658136316740558,0.3946389824413771,0.33283381863710276,-0.02951737893816797,0.0,-0.38009600570462393,-0.1430495375718069,-0.4180480288284065,0.29011533921590094,-0.08454153074766678,0.0,-0.3713391802171192,1.878685615785758,0.3400873997022129,-0.5295690394127173,-0.45461153909536167,-1.713772744559878,-0.1577952324613297,-0.36429190235546416
2,-0.598596072534176,-0.0846431199796247,0.2940467014451158,0.047121736735901046,0.048458691559791024,-0.6910601320383574,0.7196298986607166,-0.43779810832718,0.16914554019686642,0.3935140430271134,0.3480386042135092,-0.033776775513823576,0.0,-0.41056098867297736,-0.14825110986982648,-0.4161744425450509,0.307787381506059,-0.08988665835086597,0.0,-0.39470442351415774,1.87453256367854,0.34323885689121797,-0.5331666674788003,-0.4815013747729609,-1.7118520699884698,-0.1541929945753264,-0.36378914783141336
3,-0.5985520385895813,-0.08459757958005479,0.29387464250145434,0.049198951354248434,0.050542877610101226,-0.6911321384062428,0.7192782827046468,-0.4464341314506671,0.1702804271164007,0.3936005913157202,0.35214038162415406,-0.03500499803974311,0.0,-0.4199404479251798,-0.14958561461774295,-0.41522989841056535,0.3124181258174229,-0.0910542214376046,0.0,-0.40274889067371755,1.8729756912795126,0.3425947370791869,-0.5343712999589177,-0.48871295632245493,-1.7098574981976655,-0.15116824246568616,-0.36186494896064997
4,-0.5985191322456601,-0.08457286488048872,0.29381785381162545,0.049920675482132484,0.05127451905252987,-0.6913002963125838,0.7190151251353982,-0.4492331419444967,0.17073676460829962,0.39399309818060224,0.3534263493221998,-0.03550576351284326,0.0,-0.4232391966848258,-0.14990984926149512,-0.4144765363226067,0.31361764013639604,-0.09116713716003982,0.0,-0.4051933045431288,1.8718064121748348,0.3420801016376209,-0.534941733030318,-0.4902164898318826,-1.7082120840603754,-0.14951311631054634,-0.35987591159049825
5,-0.598499674619962,-0.08455468934098927,0.29379061420287383,0.05026406377600396,0.05154609151392488,-0.6914933218733081,0.7187861365851298,-0.45027771449357257,0.17091096349074417,0.3945016280065219,0.3539489252276832,-0.03583174814470358,0.0,-0.4247925519383435,-0.15002356860290622,-0.4136079318381858,0.3139457209098523,-0.09105663588063195,0.0,-0.40552252197638794,1.8708087382268896,0.3418281566804681,-0.5352514168388499,-0.49022457672389197,-1.7075643872156883,-0.14873367633546616,-0.3582748020895718
6,-0.5984865393834568,-0.08453576723264694,0.29377595571453496,0.05049050867972644,0.051665522993259376,-0.6916420170977455,0.7186186070872755,-0.45076315361139696,0.17092177400976585,0.3949280290018572,0.35410563370588133,-0.035962300376828515,0.0,-0.425735688015492,-0.1501482645439085,-0.4128195701271519,0.31411442785424226,-0.09090930697207178,0.0,-0.4048461504721307,1.8698038726679518,0.3414920739829155,-0.5346452769213801,-0.49022262446891274,-1.7072364701612408,-0.14855282422526175,-0.3570601691894635
7,-0.598464221218325,-0.0845263551050069,0.29376555936395593,0.050681524515893334,0.05173016125687681,-0.6917799864735961,0.7184676915517305,-0.4509896671106934,0.17082893062691645,0.3953584159674464,0.3540607559009167,-0.036071240602160014,0.0,-0.4264991440700218,-0.15033260903369683,-0.4120807609782242,0.3142426321647642,-0.09077553281201639,0.0,-0.40352222613842215,1.868827495205657,0.34083722989018256,-0.5328856844923132,-0.49073661032597815,-1.70761649899473,-0.14897052468077596,-0.3565059449227814
8,-0.5984470783714646,-0.08450512323037923,0.29375239931887726,0.050863577946044285,0.05175698515982245,-0.691909124720612,0.7183285279411142,-0.45113396880309986,0.17067266623584332,0.39579142067449696,0.353894362817888,-0.03609828281433077,0.0,-0.4272391886918314,-0.1505546202459476,-0.4114460194027178,0.31436840529139143,-0.0905793407871126,0.0,-0.40172173920764553,1.867981865740261,0.34025944062237556,-0.5312477188017208,-0.4918992744026301,-1.7080175353706466,-0.14883839834947027,-0.3559317007608475
9,-0.5984200768755557,-0.08447498425008312,0.2937414700955423,0.051033611486563435,0.05185130721254984,-0.6920620415513971,0.7181623375551655,-0.4513711554410489,0.17061139810049558,0.3961728001358983,0.35370180457648637,-0.036096264809811957,0.0,-0.4279931581243925,-0.1506887601867681,-0.41096281450242694,0.3144437881379417,-0.09031073743407547,0.0,-0.40009439854102835,1.8673003960424,0.33995126655587216,-0.530219225384618,-0.4921470437400802,-1.708165524313699,-0.14833882859411388,-0.3550267481388138
