root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow
-0.653318,-0.129784,0.174702,0.592552,0.493569,-0.467184,0.432447,-0.429473,0.482763,1.066748,0.530709,0.247463,0.0,-0.439804,-0.003377,-0.754867,0.453067,0.11214,0.0,-0.588675,1.730152,0.31302,-0.378793,-0.736071,-1.829127,-0.163272,-0.317499
-0.654395,-0.129721,0.174081,0.592953,0.492209,-0.467632,0.432963,-0.422962,0.479207,1.072628,0.524133,0.250026,0.0,-0.43773,-0.003817,-0.752176,0.456789,0.108267,0.0,-0.587415,1.726105,0.315269,-0.381158,-0.734178,-1.832251,-0.162105,-0.316279
-0.655278,-0.129633,0.173818,0.593159,0.491104,-0.467945,0.433598,-0.418731,0.476745,1.076135,0.518417,0.25372,0.0,-0.436276,-0.003711,-0.749333,0.458934,0.106278,0.0,-0.585129,1.723321,0.316708,-0.382903,-0.738977,-1.832522,-0.161967,-0.317602
-0.655256,-0.129432,0.174817,0.592977,0.490479,-0.467989,0.434505,-0.420488,0.473503,1.077068,0.513159,0.256374,0.0,-0.43879,-0.00532,-0.746675,0.461087,0.108828,0.0,-0.58557,1.721208,0.318272,-0.385595,-0.742967,-1.831427,-0.161583,-0.319319
-0.65515,-0.129215,0.175838,0.593407,0.490642,-0.467395,0.434373,-0.427442,0.472963,1.069961,0.510524,0.262246,0.0,-0.445126,-0.007379,-0.74289,0.463,0.112378,0.0,-0.580938,1.722137,0.318726,-0.385761,-0.738873,-1.832948,-0.160394,-0.318731
-0.654647,-0.128913,0.177235,0.594109,0.491734,-0.46628,0.433376,-0.439275,0.473645,1.060568,0.510493,0.268083,0.0,-0.455423,-0.010067,-0.738745,0.464714,0.116747,0.0,-0.565409,1.728857,0.316583,-0.381474,-0.720431,-1.837779,-0.156948,-0.318588
-0.65316,-0.128503,0.179864,0.594235,0.493629,-0.465192,0.432216,-0.456939,0.47451,1.048311,0.512876,0.273669,0.0,-0.470181,-0.014629,-0.733521,0.466871,0.125193,0.0,-0.538471,1.741788,0.310228,-0.37437,-0.683263,-1.848306,-0.151761,-0.318976
-0.6512,-0.128157,0.183201,0.592602,0.494651,-0.466387,0.432003,-0.471916,0.477619,1.03007,0.519762,0.278781,0.0,-0.480965,-0.020553,-0.726563,0.469562,0.135804,0.0,-0.49968,1.756413,0.300272,-0.366039,-0.671043,-1.855799,-0.156694,-0.336606
-0.648952,-0.127917,0.186788,0.589422,0.495015,-0.46977,0.432271,-0.482401,0.482529,1.010431,0.531028,0.282667,0.0,-0.48719,-0.027055,-0.717405,0.471761,0.148114,0.0,-0.474529,1.76543,0.291223,-0.361522,-0.672151,-1.867601,-0.17153,-0.369507
-0.646528,-0.127788,0.190122,0.586293,0.498654,-0.473139,0.428655,-0.496617,0.492161,0.992919,0.546489,0.286104,0.0,-0.498678,-0.029855,-0.701989,0.466083,0.166266,0.0,-0.456626,1.779772,0.285522,-0.352442,-0.708689,-1.86428,-0.230175,-0.460118
-0.644954,-0.127738,0.192741,0.58458,0.497515,-0.480244,0.424394,-0.498433,0.491651,0.973726,0.55965,0.288344,0.0,-0.508356,-0.044807,-0.683954,0.475031,0.174528,0.0,-0.431624,1.780044,0.274849,-0.334082,-0.776032,-1.828864,-0.316093,-0.600957
-0.643478,-0.127468,0.195994,0.58404,0.495604,-0.487212,0.419402,-0.496286,0.478588,0.970832,0.556915,0.294361,0.0,-0.524099,-0.063688,-0.662102,0.487391,0.185753,0.0,-0.411239,1.775133,0.263819,-0.313775,-0.863207,-1.777237,-0.371165,-0.762813
-0.64154,-0.127022,0.200011,0.584898,0.484101,-0.498989,0.417793,-0.479622,0.439487,0.973803,0.548817,0.291753,0.0,-0.531557,-0.104789,-0.637092,0.516237,0.19091,0.0,-0.399997,1.741457,0.247486,-0.298435,-0.954701,-1.745659,-0.346407,-0.897195
-0.641389,-0.127016,0.201813,0.587619,0.474997,-0.509244,0.41201,-0.461214,0.402592,0.966085,0.526602,0.30048,0.0,-0.545322,-0.140739,-0.603906,0.543666,0.190795,0.0,-0.395207,1.708832,0.236244,-0.27926,-1.066968,-1.743428,-0.252334,-1.023487
-0.641053,-0.126891,0.203641,0.590646,0.469022,-0.517469,0.404204,-0.451241,0.370787,0.95855,0.508246,0.305459,0.0,-0.567244,-0.170378,-0.566969,0.565356,0.195725,0.0,-0.396323,1.682023,0.223757,-0.255423,-1.11573,-1.764642,-0.171061,-1.123355
-0.639436,-0.126548,0.206705,0.592185,0.4653,-0.525863,0.395325,-0.447068,0.339996,0.95206,0.495941,0.305891,0.0,-0.595855,-0.196414,-0.527435,0.583555,0.208866,0.0,-0.399161,1.66061,0.210095,-0.228072,-1.112801,-1.775705,-0.12089,-1.205649
-0.636503,-0.126028,0.210963,0.591626,0.463503,-0.534878,0.386069,-0.450541,0.312796,0.934834,0.494387,0.302175,0.0,-0.627421,-0.217005,-0.488381,0.596301,0.230529,0.0,-0.402738,1.645716,0.19573,-0.198355,-1.08149,-1.771917,-0.096606,-1.276545
