root pos x,root pos y,root pos z,root rot x,root rot y,root rot z,root rot w,l_hip_pitch,l_hip_roll,l_thigh,l_calf,l_ankle_pitch,l_ankle_roll,r_hip_pitch,r_hip_roll,r_thigh,r_calf,r_ankle_pitch,r_ankle_roll,l_shoulder_pitch,l_shoulder_roll,l_upper_arm,l_elbow,r_shoulder_pitch,r_shoulder_roll,r_upper_arm,r_elbow
0.543105,-0.000754,-0.044734,-0.356494,-0.454968,-0.543574,0.608641,-0.731942,0.452134,0.68582,0.389533,0.22257,0.0,-0.680237,-0.592505,-1.047911,0.303868,0.240274,0.0,0.158995,0.514523,-0.350204,-0.680315,0.401354,-0.752615,0.294878,-0.842521
0.543292,-0.000607,-0.044442,-0.355697,-0.455767,-0.543175,0.608865,-0.730919,0.449192,0.681853,0.389018,0.219474,0.0,-0.680829,-0.594806,-1.046486,0.303518,0.241085,0.0,0.157275,0.504187,-0.350887,-0.682734,0.404148,-0.754679,0.291565,-0.844279
0.543874,-0.000392,-0.044051,-0.355241,-0.456742,-0.541776,0.609647,-0.728935,0.442141,0.677386,0.387597,0.216498,0.0,-0.67914,-0.601031,-1.047735,0.303724,0.242877,0.0,0.149292,0.482661,-0.348441,-0.687858,0.406182,-0.755342,0.286846,-0.842812
0.544511,-4e-05,-0.043375,-0.354303,-0.458433,-0.539575,0.610874,-0.724663,0.432432,0.671757,0.385832,0.213763,0.0,-0.676674,-0.610441,-1.049474,0.304471,0.244215,0.0,0.133209,0.455686,-0.339153,-0.701284,0.408403,-0.756903,0.280519,-0.839031
0.545157,0.000374,-0.042566,-0.35262,-0.461916,-0.536107,0.612276,-0.715372,0.418571,0.666749,0.382477,0.211184,0.0,-0.67524,-0.624837,-1.047517,0.307419,0.24524,0.0,0.112987,0.427017,-0.314022,-0.732587,0.414925,-0.762132,0.2701,-0.834123
0.54575,0.000747,-0.041828,-0.350546,-0.46509,-0.532918,0.613846,-0.707841,0.404,0.658536,0.37663,0.211145,0.0,-0.675858,-0.638344,-1.04405,0.309195,0.247167,0.0,0.089769,0.402495,-0.279265,-0.788023,0.420024,-0.766789,0.257605,-0.829895
0.546274,0.00108,-0.04125,-0.348462,-0.468113,-0.529903,0.615343,-0.702129,0.389024,0.645545,0.369088,0.213427,0.0,-0.677884,-0.6505,-1.038757,0.310145,0.249853,0.0,0.065152,0.378914,-0.23706,-0.872793,0.423271,-0.770349,0.244188,-0.824639
0.546817,0.001287,-0.040956,-0.346619,-0.470964,-0.527536,0.616242,-0.698603,0.375565,0.629193,0.361001,0.217573,0.0,-0.68133,-0.659679,-1.031852,0.310167,0.253426,0.0,0.043361,0.351168,-0.198866,-0.979456,0.423893,-0.772854,0.232032,-0.818374
0.547688,0.001648,-0.040334,-0.344298,-0.474253,-0.52629,0.616086,-0.6938,0.363656,0.614293,0.354405,0.219222,0.0,-0.684312,-0.666365,-1.022726,0.308068,0.25771,0.0,0.021493,0.330355,-0.184696,-1.097566,0.422554,-0.775005,0.223381,-0.813427
0.548453,0.002189,-0.039322,-0.341454,-0.478687,-0.52453,0.61574,-0.684393,0.350736,0.601849,0.348156,0.220124,0.0,-0.686328,-0.67461,-1.010723,0.305617,0.261551,0.0,-0.015654,0.308198,-0.208683,-1.204517,0.423504,-0.781921,0.218207,-0.808813
0.549086,0.002592,-0.038555,-0.337612,-0.48481,-0.522438,0.614846,-0.671177,0.33683,0.594599,0.341878,0.221592,0.0,-0.691855,-0.682789,-0.992349,0.301717,0.266853,0.0,-0.074458,0.291928,-0.265469,-1.296107,0.423405,-0.790431,0.214102,-0.799367
0.549362,0.003105,-0.037668,-0.332036,-0.492909,-0.521856,0.611931,-0.652591,0.327022,0.594624,0.336909,0.218164,0.0,-0.701023,-0.684684,-0.964694,0.294472,0.273434,0.0,-0.153148,0.29289,-0.347248,-1.381573,0.410139,-0.792923,0.212188,-0.778
0.550463,0.003601,-0.03702,-0.325995,-0.502254,-0.52166,0.607733,-0.631728,0.313787,0.601813,0.33185,0.208826,0.0,-0.711634,-0.685836,-0.929122,0.283573,0.286036,0.0,-0.248252,0.304848,-0.432969,-1.460726,0.371776,-0.7793,0.208925,-0.732952
0.550735,0.004385,-0.035826,-0.319494,-0.511326,-0.523034,0.602416,-0.611429,0.307033,0.605341,0.329381,0.197654,0.0,-0.720994,-0.679028,-0.88778,0.269787,0.298991,0.0,-0.355756,0.312171,-0.510545,-1.53431,0.314157,-0.755206,0.203541,-0.677243
0.550878,0.004853,-0.034896,-0.31174,-0.520473,-0.522245,0.599322,-0.595958,0.292474,0.602882,0.325688,0.188493,0.0,-0.736707,-0.678345,-0.840357,0.256173,0.314975,0.0,-0.480465,0.299941,-0.589074,-1.591865,0.274319,-0.752744,0.19781,-0.642163
0.550492,0.005071,-0.034168,-0.302452,-0.530479,-0.516441,0.600336,-0.580726,0.263268,0.594389,0.313481,0.182861,0.0,-0.759129,-0.691577,-0.78991,0.24566,0.331249,0.0,-0.632044,0.242198,-0.661797,-1.611897,0.256371,-0.773257,0.182538,-0.623904
